Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
full-spectrum-tincture,"Full Spectrum Tincture","<p>780mg total — 50mg CBD : 2mg THC per mL. Full spectrum whole-plant hemp extract in organic MCT oil, sunflower oil, and hemp seed oil. 1 FL OZ (30mL). Third-party lab tested.</p>",Hazy Grove Farms,Tincture,"tincture, full-spectrum, cbd, thc, contains-thc, 21-plus",true,Title,Default Title,HG-TINCT-FS,30,deny,manual,49.99,true,true,active
full-spectrum-sleep-tincture,"Full Spectrum Sleep Tincture","<p>1620mg total — 50mg CBD : 2mg THC : 2mg CBN per mL. Full spectrum whole-plant hemp extract with CBN for sleep support. Organic MCT oil, sunflower oil, and hemp seed oil. 1 FL OZ (30mL). Third-party lab tested.</p>",Hazy Grove Farms,Tincture,"tincture, full-spectrum, cbd, thc, cbn, sleep, contains-thc, 21-plus",true,Title,Default Title,HG-TINCT-SLEEP,30,deny,manual,54.99,true,true,active
cbd-daily-gummies-500mg,"CBD Daily Gummies — 500mg","<p>Everyday wellness gummies with premium hemp extract. 30 count, 4g per gummy, 15 cal. 120g (4.23 oz). All natural ingredients. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"cbd-daily, cbd, gummies, 500mg",true,Flavor,Watermelon,HG-CBD500-WM,120,deny,manual,29.99,true,true,active
cbd-daily-gummies-500mg,,,,,,,,Blue Raspberry,HG-CBD500-BR,120,deny,manual,29.99,true,true,
cbd-daily-gummies-500mg,,,,,,,,Blood Orange,HG-CBD500-BO,120,deny,manual,29.99,true,true,
cbd-daily-gummies-502mg,"CBD Daily Gummies — 502mg","<p>Everyday wellness gummies with premium hemp extract. 30 count, 4g per gummy, 15 cal. 120g (4.23 oz). All natural ingredients. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"cbd-daily, cbd, gummies, 502mg",true,Flavor,Watermelon,HG-CBD502-WM,120,deny,manual,34.99,true,true,active
cbd-daily-gummies-502mg,,,,,,,,Blue Raspberry,HG-CBD502-BR,120,deny,manual,34.99,true,true,
cbd-daily-gummies-502mg,,,,,,,,Blood Orange,HG-CBD502-BO,120,deny,manual,34.99,true,true,
cbd-daily-gummies-1005mg,"CBD Daily Gummies — 1005mg","<p>Higher strength everyday wellness gummies with premium hemp extract. 30 count, 4g per gummy, 15 cal. 120g (4.23 oz). All natural ingredients. Third-party lab tested.</p>",Hazy Grove Farms,Gummies,"cbd-daily, cbd, gummies, 1005mg",true,Flavor,Watermelon,HG-CBD1005-WM,120,deny,manual,49.99,true,true,active
cbd-daily-gummies-1005mg,,,,,,,,Blue Raspberry,HG-CBD1005-BR,120,deny,manual,49.99,true,true,
